anio;trimestre;provincia;media_bajada_mbps;adsl;cablemodem;fibra_optica;wireless;otras_tecnologias;total_tecnologia;512kbps;512kbps_1mbps;1mbps_6mbps;6mbps_10mbps;10mbps_20mbps;20mbps_30mbps;30mbps;otras_velocidades;total_velocidad;accesos_100_hogares
2021;1;Entre Rios;24;83688;118424;16846;20836;12169;251963;1050;2911;67255;5606;42432;15774;54600;120826;251963;60.44
2021;1;Formosa;21;20663;11412;2562;15669;3800;50686;560;0;22409;7569;7916;1215;9579;10942;50686;32.73
2021;1;Jujuy;27;32254;54324;17322;2677;3879;110456;490;1750;23735;17293;40649;5680;25609;20378;110456;55.63
2021;1;La Pampa;11;8946;58711;15779;12369;13;97105;2980;5540;68200;7864;7611;2786;7368;20424;97105;81.78
2021;1;La Rioja;13;17363;34984;1;2500;300;52628;180;10;36749;5968;4604;2150;5074;100;52628;49.81
2021;1;Mendoza;13;91844;69295;38619;18332;8330;218923;280;400;134386;11216;52533;4061;16615;4400;218923;39.15
2021;1;Misiones;25;48292;82339;7064;4796;6896;149387;510;5240;40949;25503;27101;1405;32953;80256;149387;43.17
2021;1;Neuquen;34;30223;70457;14171;17752;6320;133235;1160;3270;56171;8443;5903;5677;50840;50758;133235;66.84
2021;1;Rio Negro;22;48777;42192;17828;13994;18377;141168;1250;4660;70011;4187;13045;3642;29589;200103;141168;60.88
2021;1;Salta;27;54768;89187;31498;5669;6452;187574;1090;200;40785;68149;9164;8139;54889;60319;187574;53.93
2021;1;San Juan;7;40072;11589;6671;11482;8453;78267;250;1940;60439;8580;11494;3400;276;40641;78267;39.06
2021;1;San Luis;22;8417;10678;28;63826;36205;119154;580;0;11889;2926;4429;62913;22;360917;119154;81.24
2021;1;Santa Cruz;8;12347;23089;5975;4264;3900;46065;500;0;30655;8334;6987;1337;647;10945;46065;41.65
2021;1;Santa Fe;28;277012;421480;70976;3914;17519;826127;5180;8910;201632;204458;91846;65476;236924;240382;826127;73.92
2021;1;Santiago Del Estero;12;26468;75849;570;5158;3596;111641;1230;9090;33884;58464;8549;7000;4868;40144;111641;45.67
2021;1;Tierra Del Fuego;9;12853;27247;6;0;3160;40422;170;0;21379;1468;4317;4860;919;110836;40422;77.35
2021;1;Tucuman;38;147199;12185;69954;1834;7400;231912;290;970;42810;53416;25255;4188;103437;2068;231912;54.82
2020;4;Buenos Aires;50;635651;2441248;804991;93444;57927;4033261;36939;31197;1109865;242243;214171;213588;2176242;90016;4033261;68.98
2020;4;Capital Federal;67;163060;1142528;39890;4815;29237;1379530;1350;2440;160210;78123;60208;80269;1000073;26800;1379530;108.31
2020;4;Catamarca;38;26870;5115;17856;3220;2233;52396;710;0;8843;874;11436;5910;20406;20309;52396;49.41
2020;4;Chaco;32;44332;61200;23687;7997;1875;139091;3010;1120;24782;22479;26802;15701;40949;70965;139091;43.03
2020;4;Chubut;7;45703;39756;3040;23363;18712;130574;1060;1090;88157;21824;12046;2818;1112;40402;130574;68.35
2020;4;Cordoba;35;267396;439322;125620;52827;17536;902701;1190;2386;214963;135262;82221;70013;384169;130568;902701;78.08
2020;4;Corrientes;25;50102;61495;3146;5626;529;125659;670;5270;31900;26321;25687;9383;26789;40985;125659;42.43
2020;4;Entre Rios;24;85683;113670;15653;20206;12169;247381;1050;2911;65659;53556;40755;166;53141;140654;247381;59.47
2020;4;Formosa;20;21264;10789;2432;15341;3800;50206;560;0;23540;7606;7181;1197;8946;1068;50206;32.49
2020;4;Jujuy;25;32850;52815;15639;1077;347;105851;490;1820;23772;14379;4493;4460;19282;20811;105851;53.46
